, ",1958
said .,1958
of the,1686
in the,1590
he said,1571
" he,1565
says the,844
from the,721
to the,669
to be,636
for the,619
on the,599
per cent,555
has been,550
will be,497
" We,488
, and,487
at the,461
. ",460
, says,456
, the,449
and the,442
Australia 's,440
it is,419
have been,408
, but,406
, which,402
New South,375
South Wales,375
it 's,358
with the,352
" I,339
says it,335
Federal Government,321
" The,321
, with,317
is a,316
" It,283
going to,279
by the,276
year .,261
I think,256
of a,254
there is,240
the Australian,233
this year,220
she said,219
the Federal,216
" she,214
in a,213
that we,213
Western Australia,210
over the,209
up to,207
more than,207
that the,202
, it,201
, from,200
for a,197
South Australia,196
a lot,196
is the,191
to get,191
that 's,190
Australia .,186
they are,185
It 's,184
He says,184
the state,182
have to,179
is not,178
Australia ,,177
says he,175
we 're,174
lot of,173
do n't,171
need to,169
expected to,167
the first,166
cent of,165
the industry,164
we 've,163
we have,161
a new,160
it will,159
's a,158
one of,157
the Government,156
which is,156
there 's,155
, in,152
have a,152
out of,152
to a,151
will not,150
in Australia,149
to make,149
the next,148
, we,148
about the,148
into the,148
the company,148
of Australia,147
to have,145
and we,145
" There,145
due to,145
, so,142
number of,142
the drought,139
to help,138
The Federal,138
are being,137
single desk,136
able to,134
, to,131
the past,130
they 're,130
the US,129
year ,,129
Government has,127
, as,126
as a,126
Northern Territory,126
and a,126
could be,124
It is,123
the last,123
says there,122
this week,120
the market,120
state 's,119
the world,119
would be,118
, a,117
there are,116
a bit,116
, they,114
years .,114
last year,114
because of,114
on a,113
are not,113
and that,111
with a,111
it was,111
The Australian,110
" Mr,110
at a,109
they have,109
that is,108
Department of,108
to do,107
the Northern,107
and it,107
've got,107
part of,107
, I,106
be a,105
" They,105
the single,104
AWB 's,103
, is,101
it has,100
that they,99
Farmers Federation,98
the National,98
to see,98
industry .,98
in Western,98
, that,97
is being,97
the future,96
We 've,96
and they,96
should be,96
tonnes of,96
trying to,95
across the,95
want to,95
as well,94
the moment,94
not be,94
the country,94
some of,93
a big,93
be able,92
in South,92
in New,92
looking at,92
he is,92
look at,91
needs to,91
Association says,91
New Zealand,90
and I,90
, has,89
to take,89
years ,,89
been a,88
the new,88
will have,88
to keep,87
There is,87
in Victoria,87
industry is,86
as the,86
lack of,86
farmers are,86
the United,84
, who,83
Australia and,83
can be,83
they will,83
end of,82
market .,81
is expected,81
a major,81
United States,81
a very,80
Agriculture Minister,80
next year,80
is now,79
prices .,79
the same,79
" If,79
, there,78
I 'm,78
to try,78
ca n't,78
of water,78
say they,78
the Cole,77
we can,77
used to,77
continue to,77
million tonnes,77
the water,77
We 're,76
price of,76
that are,76
we are,76
industry ,,76
's biggest,76
Cole inquiry,76
around the,76
Government 's,75
set to,75
There 's,75
the end,75
does not,75
Government is,74
climate change,74
try to,74
Australia is,74
" What,73
a year,73
the Murray,73
is going,73
sort of,73
the region,73
be the,73
Australia has,72
year 's,72
to $,72
, including,72
bit of,72
is that,71
after the,71
first time,71
Prime Minister,71
that it,71
says a,70
Government to,70
it ,,70
's not,70
season .,70
the most,69
but it,69
in Queensland,69
to stop,69
is still,69
I do,69
plans to,69
Peter McGauran,69
access to,69
a number,69
week .,69
through the,68
the current,68
is to,68
a $,68
's been,68
growers are,68
of its,68
Queensland .,66
South Australian,66
the disease,66
the best,66
farmers to,66
of their,65
impact on,65
But the,65
the year,65
they can,65
" In,65
think it,64
, because,64
a national,64
think that,64
drought .,63
In the,63
a good,63
it .,63
to pay,63
" This,63
that there,63
to sell,62
to go,62
at least,62
to buy,62
at this,62
One of,62
market ,,61
Western Australian,61
the price,61
Australian Wool,61
growers in,61
was a,61
most of,61
this is,61
, after,60
five years,60
cost of,60
urged to,60
this season,60
if the,60
likely to,60
is also,59
, if,59
but the,59
Wales ,,59
to increase,59
of Agriculture,59
head of,59
last week,59
of wheat,59
would have,59
amount of,58
Minister Peter,58
Meat and,58
says they,58
if they,58
Bureau of,58
and Livestock,58
says while,58
under the,58
farmers in,58
of $,58
Livestock Australia,57
may be,57
had a,57
to reduce,57
The National,56
got to,56
future of,56
years ago,56
, or,56
north Queensland,56
National Farmers,56
" But,56
to improve,56
, you,55
wants to,55
farmers .,55
who are,55
prices are,55
changes to,55
he says,55
cent .,55
off the,55
to find,55
, while,55
We have,55
Primary Industries,54
to give,54
and there,54
's going,54
farmers have,54
The company,54
are in,54
" And,54
all the,54
cents a,54
that have,54
the national,54
" So,54
is an,53
think the,53
grain growers,53
the New,53
what we,53
n't have,53
to put,53
they 've,53
to meet,53
it would,53
've been,53
There are,53
week ,,53
in southern,53
time ,,52
during the,52
that ,,52
calling for,52
and then,52
to look,52
the way,52
for their,52
of this,52
he has,52
say the,51
them to,51
the State,51
says that,51
which has,51
crops .,51
terms of,51
a little,51
of rain,51
to come,51
does n't,51
be in,51
the biggest,51
under way,51
Queensland 's,51
the nation,50
before the,50
Wales .,50
after a,50
Government will,50
Australia says,50
has not,50
of Australian,50
a lack,50
and says,49
'll be,49
up the,49
's the,49
a tonne,49
Victoria 's,49
growers ,,49
, will,49
there ,,49
is in,48
in Tasmania,48
the farm,48
three years,48
industry has,48
because they,48
's largest,48
million .,48
by a,48
to use,48
Association ,,48
and is,48
of our,48
today .,48
a long,48
of that,48
to work,48
we 'll,48
A new,47
is no,47
State Government,47
are the,47
areas .,47
to ensure,47
have got,47
have n't,47
the eastern,47
, despite,47
a few,47
we do,47
out there,47
months .,46
to farmers,46
drought ,,46
Snowy Hydro,46
AWB has,46
: ",46
? ",46
prices ,,46
water .,46
Tasmania 's,46
now ,,46
found in,46
the sale,46
so it,46
got a,46
parts of,46
farmers and,46
are going,45
nation 's,45
to protect,45
's no,45
has announced,45
in central,45
looking for,44
dry conditions,44
impact of,44
for farmers,44
far north,44
we will,44
demand for,44
forced to,44
the whole,44
make the,44
to their,44
may have,44
the oil-for-food,44
wheat exports,44
University of,44
are still,44
years of,43
Queensland ,,43
at all,43
from a,43
and other,43
US beef,43
in this,43
Australia are,43
wheat export,43
did not,43
month .,43
what 's,43
to provide,43
code of,43
Victoria ,,43
get the,43
the wheat,43
be used,43
the cost,43
the latest,43
" That,43
earlier this,43
of Primary,43
across Australia,43
the ground,42
the weekend,42
exports to,42
has found,42
because the,42
decision to,42
, particularly,42
set up,42
did n't,42
water ,,42
than $,42
do not,42
couple of,42
for more,42
're not,42
Grains Council,42
of course,42
fruit and,42
of an,42
sector .,42
drop in,42
way to,42
deal with,41
in place,41
to allow,41
has also,41
are now,41
thousands of,41
two years,41
there was,41
're going,41
says farmers,41
, where,41
get a,41
world 's,41
because it,41
rather than,41
up in,40
in some,40
of those,40
Chief executive,40
wo n't,40
Federal Court,40
have the,40
if you,40
of conduct,40
n't think,40
growers have,40
result of,40
the other,40
the $,40
12 months,40
, when,40
where the,40
, for,39
of cattle,39
is very,39
in rural,39
have had,39
costs .,39
are also,39
says his,39
10 per,39
cent ,,39
in terms,39
chief executive,39
up ,,39
the Queensland,39
you know,39
today ,,39
the impact,39
so we,39
north of,39
of New,39
in their,39
More than,38
but we,38
had to,38
within the,38
the season,38
had been,38
system ,,38
value of,38
the University,38
we need,38
industry 's,38
The Government,38
wake of,38
there will,38
this time,38
the environment,38
have not,38
the inquiry,38
not to,38
and will,38
worried about,38
mad cow,38
it does,38
which will,38
of dollars,38
exporter AWB,38
season ,,38
a result,38
the Victorian,37
company 's,37
months ,,37
We are,37
system .,37
the amount,37
of people,37
of grain,37
prices and,37
water to,37
the Department,37
Mark Vaile,37
on their,37
and so,37
and in,37
not have,37
Meanwhile ,,37
the issue,37
" You,37
like the,37
you 're,37
) says,37
increase in,37
production .,37
of them,37
as it,37
for Australian,36
starting to,36
down the,36
the wake,36
less than,36
eastern states,36
we would,36
that a,36
the plan,36
exports .,36
there has,36
back to,36
dairy farmers,36
Wool Innovation,36
for an,36
if it,36
Murray River,36
to cut,36
of it,36
so that,36
has a,36
will help,36
Minister ,,36
he will,35
Government says,35
told the,35
will also,35
but there,35
a kilogram,35
between the,35
They are,35
group of,35
month ,,35
which are,35
illegal fishing,35
prices have,35
since the,35
million in,35
are expected,35
the system,35
when it,35
markets .,35
will continue,35
when the,35
because we,35
This is,35
McGauran says,34
you have,34
I guess,34
you can,34
to continue,34
is one,34
that will,34
Wales and,34
are looking,34
around $,34
growers and,34
if we,34
time in,34
people to,34
the dry,34
cyclone Larry,34
about a,34
help to,34
to build,34
not enough,34
the time,34
used in,34
There has,34
growers .,34
That is,34
while the,34
inquiry .,34
but says,34
Australian Bureau,34
It has,33
10 years,33
company is,33
, at,33
concerns about,33
the project,33
, although,33
is looking,33
hundreds of,33
I have,33
for wheat,33
use of,33
calls for,33
all of,33
wheat exporter,33
that has,33
water allocations,33
to export,33
's just,33
make a,33
of AWB,33
to produce,33
in an,33
make sure,33
the worst,33
well ,,33
and he,33
the local,33
up a,33
southern New,33
wheat growers,33
the decision,33
little bit,33
to develop,33
to change,33
enough to,33
, are,32
time .,32
designed to,32
The latest,32
to encourage,32
, Mr,32
the wool,32
blamed for,32
of Western,32
to grow,32
for some,32
is just,32
they do,32
been found,32
has told,32
rural Australia,32
their own,32
good news,32
this morning,32
trade talks,32
to start,32
to Iraq,32
each year,32
in Canberra,32
to move,32
plan to,32
harvest .,32
go to,32
well .,32
water from,32
hard to,32
has now,32
has had,32
the land,32
shortage of,32
away from,32
moment ,,32
them .,32
agreed to,31
in Sydney,31
animal welfare,31
was the,31
of fruit,31
it could,31
the trade,31
says some,31
$ 10,31
people who,31
been in,31
quite a,31
so far,31
Agriculture and,31
) has,31
says growers,31
wheat to,31
growers to,31
such as,31
company has,31
last night,31
hectares of,31
the day,31
20 per,31
this stage,31
well as,31
the major,31
Federation (,31
region .,31
and more,31
What we,31
Alice Springs,31
the number,31
and vegetable,31
I would,31
country .,31
, saying,31
as we,31
is under,31
Murray Darling,31
according to,31
people are,30
will take,30
drought assistance,30
Victoria and,30
in regional,30
it to,30
drought and,30
Federal Agriculture,30
to consider,30
that .,30
what they,30
for this,30
future .,30
level of,30
there and,30
into a,30
trade .,30
60 per,30
, then,30
they 'll,30
people in,30
've had,30
John Howard,30
, very,30
to growers,30
out in,30
the situation,30
lead to,30
inquiry into,30
to Australia,30
the community,30
and South,30
I 've,30
them ,,30
, due,29
The report,29
not been,29
year and,29
town of,29
support for,29
industry and,29
the right,29
in that,29
for its,29
Wheat Australia,29
40 per,29
the problem,29
farmers ,,29
out the,29
that was,29
range of,29
research and,29
up and,29
says Australia,29
needed to,29
prices for,29
affected by,29
million ,,29
and has,29
The price,29
not a,29
and are,29
to supply,29
cow disease,29
next week,29
they were,29
they need,29
fruit fly,29
the Japanese,29
a record,29
to fill,29
last month,29
the code,29
ago .,29
sale of,29
start to,29
has taken,29
the changes,29
the main,29
shipment of,29
a great,28
on ,,28
and some,28
are a,28
We do,28
or the,28
, he,28
what the,28
's first,28
concerned about,28
change .,28
a couple,28
farmers will,28
to investigate,28
might be,28
is set,28
farmers ',28
to send,28
growers will,28
grain prices,28
come to,28
disease ,,28
disease .,28
of farmers,28
But he,28
we were,28
producers are,28
the value,28
crops ,,28
Australia to,28
in WA,28
in northern,28
how to,28
Council says,28
for us,28
western New,28
Government .,28
the big,28
Australian wheat,28
and New,28
has n't,28
but they,28
5 per,28
Managing director,28
so they,28
n't be,28
managing director,28
against the,28
are very,28
in our,28
The US,28
in its,28
but I,28
to support,28
It was,27
, not,27
the public,27
is on,27
AWB ,,27
west of,27
state and,27
Australia will,27
the only,27
from Australia,27
that can,27
its own,27
for rural,27
is ,,27
people have,27
At the,27
Eyre Peninsula,27
to become,27
an independent,27
continues to,27
wine industry,27
as part,27
to save,27
see the,27
mandatory code,27
water is,27
The New,27
the South,27
about $,27
out .,27
this month,27
it can,27
the north,27
not going,27
think there,27
the cattle,27
I mean,27
